,method,path,file
27,PUT,api/v1/configservice,/mnt/data/train-ticket/train-ticket/ts-config-service/src/main/java/config/controller/ConfigController.java
28,DELETE,api/v1/configservice,/mnt/data/train-ticket/train-ticket/ts-config-service/src/main/java/config/controller/ConfigController.java
29,GET,/api/v1/assuranceservice,/mnt/data/train-ticket/train-ticket/ts-assurance-service/src/main/java/assurance/controller/AssuranceController.java
35,DELETE,/api/v1/assuranceservice,/mnt/data/train-ticket/train-ticket/ts-assurance-service/src/main/java/assurance/controller/AssuranceController.java
37,PATCH,/api/v1/assuranceservice,/mnt/data/train-ticket/train-ticket/ts-assurance-service/src/main/java/assurance/controller/AssuranceController.java
38,GET,/api/v1/orderOtherService,/mnt/data/train-ticket/train-ticket/ts-order-other-service/src/main/java/other/controller/OrderOtherController.java
46,POST,/api/v1/orderOtherService,/mnt/data/train-ticket/train-ticket/ts-order-other-service/src/main/java/other/controller/OrderOtherController.java
51,PUT,/api/v1/orderOtherService,/mnt/data/train-ticket/train-ticket/ts-order-other-service/src/main/java/other/controller/OrderOtherController.java
53,DELETE,/api/v1/orderOtherService,/mnt/data/train-ticket/train-ticket/ts-order-other-service/src/main/java/other/controller/OrderOtherController.java
54,GET,/api/v1/routeservice,/mnt/data/train-ticket/train-ticket/ts-route-service/src/main/java/route/controller/RouteController.java
58,POST,/api/v1/routeservice,/mnt/data/train-ticket/train-ticket/ts-route-service/src/main/java/route/controller/RouteController.java
60,DELETE,/api/v1/routeservice,/mnt/data/train-ticket/train-ticket/ts-route-service/src/main/java/route/controller/RouteController.java
61,GET,/api/v1/priceservice,/mnt/data/train-ticket/train-ticket/ts-price-service/src/main/java/price/controller/PriceController.java
64,POST,/api/v1/priceservice,/mnt/data/train-ticket/train-ticket/ts-price-service/src/main/java/price/controller/PriceController.java
